* c0 0.0
* kappa 15.0
* Ka 4e2
* A0 0.0021911563
* PC 4
* _PC 4
365 An2 2.09157
366 An0 2.10919
366 An1 2.08074
366 An2 2.09326
367 An0 2.10038
367 An1 2.05434
367 An2 2.12846
368 An0 2.1751
368 An1 2.02243
368 An2 2.08566
369 An0 1.93037
369 An1 2.24812
369 An2 2.1047
370 An0 1.62814
370 An1 2.55605
370 An2 2.099
371 An0 1.72253
371 An1 2.3118
371 An2 2.24885
372 An0 1.97658
372 An1 2.0736
372 An2 2.233
373 An0 1.81779
373 An1 2.15215
373 An2 2.31325
374 An0 1.91777
374 An1 2.02669
374 An2 2.33873
375 An0 2.09112
375 An1 2.08764
375 An2 2.10443
376 An0 2.10617
376 An1 2.00586
376 An2 2.17116
377 An0 2.14116
377 An1 2.03456
377 An2 2.10747
378 An0 2.08437
378 An1 1.95111
378 An2 2.2477
379 An0 2.02375
379 An1 1.91541
379 An2 2.34403
380 An0 2.14866
380 An1 1.816
380 An2 2.31852
381 An0 2.24192
381 An1 1.93636
381 An2 2.10491
382 An0 2.30776
382 An1 1.72133
382 An2 2.2541
383 An0 2.55606
383 An1 1.62815
383 An2 2.09898
384 An0 2.03542
384 An1 2.03543
384 An2 2.21233
385 An0 2.05428
385 An1 2.04609
385 An2 2.18281
386 An0 2.04606
386 An1 2.05426
386 An2 2.18286
387 An0 2.03541
387 An1 2.03541
387 An2 2.21237
388 An0 2.05428
388 An1 2.04608
388 An2 2.18283
389 An0 2.04608
389 An1 2.05428
389 An2 2.18283
390 An0 1.46419
390 An1 2.61541
390 An2 2.20358
391 An0 2.57157
391 An1 2.61928
391 An2 1.09233
392 An0 2.03542
392 An1 2.03543
392 An2 2.21233
393 An0 2.05428
393 An1 2.04609
393 An2 2.18281
394 An0 2.04606
394 An1 2.05426
394 An2 2.18286
395 An0 2.03541
395 An1 2.03541
395 An2 2.21237
396 An0 2.05428
396 An1 2.04608
396 An2 2.18283
397 An0 2.04608
397 An1 2.05428
397 An2 2.18283
398 An0 2.03543
398 An1 2.03542
398 An2 2.21233
399 An0 2.05426
399 An1 2.04609
399 An2 2.18284
400 An0 2.04609
400 An1 2.05428
400 An2 2.18281
401 An0 2.08519
401 An1 2.11115
401 An2 2.08685
402 An0 2.08685
402 An1 2.11114
402 An2 2.0852
403 An0 2.08903
403 An1 2.10507
403 An2 2.08908
404 An0 2.08519
404 An1 2.11117
404 An2 2.08683
405 An0 2.08683
405 An1 2.11117
405 An2 2.08519
406 An0 2.08906
406 An1 2.10506
406 An2 2.08906
407 An0 2.0852
407 An1 2.11114
407 An2 2.08685
408 An0 2.08685
408 An1 2.11115
408 An2 2.08519
409 An0 2.08908
409 An1 2.10507
409 An2 2.08903
410 An0 2.08519
410 An1 2.11115
410 An2 2.08685
411 An0 2.08685
411 An1 2.11114
411 An2 2.0852
412 An0 2.08903
412 An1 2.10507
412 An2 2.08908
413 An0 2.08519
413 An1 2.11117
413 An2 2.08683
414 An0 2.08683
414 An1 2.11117
414 An2 2.08519
415 An0 2.08906
415 An1 2.10506
415 An2 2.08906
416 An0 2.0852
416 An1 2.11114
416 An2 2.08685
417 An0 2.08685
417 An1 2.11115
417 An2 2.08519
418 An0 2.08908
418 An1 2.10507
418 An2 2.08903
419 An0 2.54913
419 An1 1.18333
419 An2 2.55073
420 An0 2.50235
420 An1 2.14283
420 An2 1.638
421 An0 2.08311
421 An1 2.14635
421 An2 2.05373
422 An0 2.0724
422 An1 2.1582
422 An2 2.05258
423 An0 2.07958
423 An1 2.13576
423 An2 2.06785
424 An0 2.05259
424 An1 2.15823
424 An2 2.07237
425 An0 2.05374
425 An1 2.14637
425 An2 2.08308
426 An0 2.06786
426 An1 2.13572
426 An2 2.0796
427 An0 2.08309
427 An1 2.14632
427 An2 2.05377
428 An0 2.07239
428 An1 2.15821
428 An2 2.05259
429 An0 2.07958
429 An1 2.13574
429 An2 2.06787
430 An0 2.05259
430 An1 2.15821
430 An2 2.07239
431 An0 2.05377
431 An1 2.14632
431 An2 2.08309
432 An0 2.06787
432 An1 2.13574
432 An2 2.07958
433 An0 2.08308
433 An1 2.14637
433 An2 2.05374
434 An0 2.07237
434 An1 2.15823
434 An2 2.05259
435 An0 2.0796
435 An1 2.13572
435 An2 2.06786
436 An0 2.05256
436 An1 2.15822
436 An2 2.07241
437 An0 2.05373
437 An1 2.14635
437 An2 2.08311
438 An0 2.06785
438 An1 2.13576
438 An2 2.07958
439 An0 2.08311
439 An1 2.14635
439 An2 2.05373
440 An0 2.0724
440 An1 2.1582
440 An2 2.05258
441 An0 2.07958
441 An1 2.13576
441 An2 2.06785
442 An0 2.05259
442 An1 2.15823
442 An2 2.07237
443 An0 2.05374
443 An1 2.14637
443 An2 2.08308
444 An0 2.06786
444 An1 2.13572
444 An2 2.0796
445 An0 2.08309
445 An1 2.14632
445 An2 2.05377
446 An0 2.07239
446 An1 2.15821
446 An2 2.05259
447 An0 2.07958
447 An1 2.13574
447 An2 2.06787
448 An0 2.05259
448 An1 2.15821
448 An2 2.07239
449 An0 2.05377
449 An1 2.14632
449 An2 2.08309
450 An0 2.06787
450 An1 2.13574
450 An2 2.07958
451 An0 2.08308
451 An1 2.14637
451 An2 2.05374
452 An0 2.07237
452 An1 2.15823
452 An2 2.05259
453 An0 2.0796
453 An1 2.13572
453 An2 2.06786
454 An0 2.05256
454 An1 2.15822
454 An2 2.07241
455 An0 2.05373
455 An1 2.14635
455 An2 2.08311
456 An0 2.06785
456 An1 2.13576
456 An2 2.07958
457 An0 2.09655
457 An1 2.09417
457 An2 2.09246
458 An0 2.09941
458 An1 2.09186
458 An2 2.09192
